ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Meta: hwp_product_gtin,ID site
,simple,3346012,Godzilla 70 Years shirt,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://images.serenashirt.com/2025/05/Godzilla-70-Years-shirt.jpg, https://images.serenashirt.com/2025/05/Godzilla-70-Years-hoodie.jpg, https://images.serenashirt.com/2025/05/Godzilla-70-Years-sweater.jpg, https://images.serenashirt.com/2025/05/Godzilla-70-Years-v-neck-t-shirt.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,1623006
,simple,3346020,Baltimore Orioles Gunnar Henderson collage frame shirt,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://images.serenashirt.com/2025/05/Baltimore-Orioles-Gunnar-Henderson-collage-frame-shirt.jpg, https://images.serenashirt.com/2025/05/Baltimore-Orioles-Gunnar-Henderson-collage-frame-hoodie.jpg, https://images.serenashirt.com/2025/05/Baltimore-Orioles-Gunnar-Henderson-collage-frame-sweater.jpg, https://images.serenashirt.com/2025/05/Baltimore-Orioles-Gunnar-Henderson-collage-frame-v-neck-t-shirt.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,1623010
,simple,3346032,Fuerza Regida 111XPANTIA shirt,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://images.serenashirt.com/2025/05/Fuerza-Regida-111XPANTIA-shirt.jpg, https://images.serenashirt.com/2025/05/Fuerza-Regida-111XPANTIA-hoodie.jpg, https://images.serenashirt.com/2025/05/Fuerza-Regida-111XPANTIA-sweater.jpg, https://images.serenashirt.com/2025/05/Fuerza-Regida-111XPANTIA-v-neck-t-shirt.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,1623016
,simple,3346048,Wizard career should be your 2nd priority your 1st priority should be committing to the bit shirt,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://images.serenashirt.com/2025/05/Wizard-career-should-be-your-2nd-priority-your-1st-priority-should-be-committing-to-the-bit-shirt.jpg, https://images.serenashirt.com/2025/05/Wizard-career-should-be-your-2nd-priority-your-1st-priority-should-be-committing-to-the-bit-hoodie.jpg, https://images.serenashirt.com/2025/05/Wizard-career-should-be-your-2nd-priority-your-1st-priority-should-be-committing-to-the-bit-sweater.jpg, https://images.serenashirt.com/2025/05/Wizard-career-should-be-your-2nd-priority-your-1st-priority-should-be-committing-to-the-bit-v-neck-t-shirt.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,1623024
,simple,3346076,A wizard is speaking listen and learn shirt,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://images.serenashirt.com/2025/05/A-wizard-is-speaking-listen-and-learn-shirt.jpg, https://images.serenashirt.com/2025/05/A-wizard-is-speaking-listen-and-learn-hoodie.jpg, https://images.serenashirt.com/2025/05/A-wizard-is-speaking-listen-and-learn-sweater.jpg, https://images.serenashirt.com/2025/05/A-wizard-is-speaking-listen-and-learn-v-neck-t-shirt.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,1623038
,simple,3346098,Wizard frog don’t believe everything you hear or anything I say shirt,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://images.serenashirt.com/2025/05/Wizard-frog-dont-believe-everything-you-hear-or-anything-I-say-shirt.jpg, https://images.serenashirt.com/2025/05/Wizard-frog-dont-believe-everything-you-hear-or-anything-I-say-hoodie.jpg, https://images.serenashirt.com/2025/05/Wizard-frog-dont-believe-everything-you-hear-or-anything-I-say-sweater.jpg, https://images.serenashirt.com/2025/05/Wizard-frog-dont-believe-everything-you-hear-or-anything-I-say-v-neck-t-shirt.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,1623049
,simple,3346102,Wizard I’m not good at being normal or chilling but I’ve mastered saying weird stuff shirt,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://images.serenashirt.com/2025/05/Wizard-Im-not-good-at-being-normal-or-chilling-but-Ive-mastered-saying-weird-stuff-shirt.jpg, https://images.serenashirt.com/2025/05/Wizard-Im-not-good-at-being-normal-or-chilling-but-Ive-mastered-saying-weird-stuff-hoodie.jpg, https://images.serenashirt.com/2025/05/Wizard-Im-not-good-at-being-normal-or-chilling-but-Ive-mastered-saying-weird-stuff-sweater.jpg, https://images.serenashirt.com/2025/05/Wizard-Im-not-good-at-being-normal-or-chilling-but-Ive-mastered-saying-weird-stuff-v-neck-t-shirt.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,1623051
,simple,3346130,Drop the album yuno shirt,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://images.serenashirt.com/2025/05/Drop-the-album-yuno-shirt.jpg, https://images.serenashirt.com/2025/05/Drop-the-album-yuno-hoodie.jpg, https://images.serenashirt.com/2025/05/Drop-the-album-yuno-sweater.jpg, https://images.serenashirt.com/2025/05/Drop-the-album-yuno-v-neck-t-shirt.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,1623065
,simple,3346136,Skate first worry later shirt,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://images.serenashirt.com/2025/05/Skate-first-worry-later-shirt.jpg, https://images.serenashirt.com/2025/05/Skate-first-worry-later-hoodie.jpg, https://images.serenashirt.com/2025/05/Skate-first-worry-later-sweater.jpg, https://images.serenashirt.com/2025/05/Skate-first-worry-later-v-neck-t-shirt.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,1623068
,simple,3346182,Crowder just jew it shirt,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://images.serenashirt.com/2025/05/Crowder-just-jew-it-shirt.jpg, https://images.serenashirt.com/2025/05/Crowder-just-jew-it-hoodie.jpg, https://images.serenashirt.com/2025/05/Crowder-just-jew-it-sweater.jpg, https://images.serenashirt.com/2025/05/Crowder-just-jew-it-v-neck-t-shirt.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,1623091
,simple,3346184,Pope Leo of the 7th ward shirt,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://images.serenashirt.com/2025/05/Pope-Leo-of-the-7th-ward-shirt.jpg, https://images.serenashirt.com/2025/05/Pope-Leo-of-the-7th-ward-hoodie.jpg, https://images.serenashirt.com/2025/05/Pope-Leo-of-the-7th-ward-sweater.jpg, https://images.serenashirt.com/2025/05/Pope-Leo-of-the-7th-ward-v-neck-t-shirt.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,1623092
,simple,3346198,Lara Croft Nokia N-Gage ’02 shirt,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://images.serenashirt.com/2025/05/Lara-Croft-Nokia-N-Gage-02-shirt.jpg, https://images.serenashirt.com/2025/05/Lara-Croft-Nokia-N-Gage-02-hoodie.jpg, https://images.serenashirt.com/2025/05/Lara-Croft-Nokia-N-Gage-02-sweater.jpg, https://images.serenashirt.com/2025/05/Lara-Croft-Nokia-N-Gage-02-v-neck-t-shirt.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,1623099
,simple,3346212,Mutt deluxe heel shirt,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://images.serenashirt.com/2025/05/Mutt-deluxe-heel-shirt.jpg, https://images.serenashirt.com/2025/05/Mutt-deluxe-heel-hoodie.jpg, https://images.serenashirt.com/2025/05/Mutt-deluxe-heel-sweater.jpg, https://images.serenashirt.com/2025/05/Mutt-deluxe-heel-v-neck-t-shirt.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,1623106
,simple,3346232,Pro migrant anti capitalist shirt,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://images.serenashirt.com/2025/05/Pro-migrant-anti-capitalist-shirt.jpg, https://images.serenashirt.com/2025/05/Pro-migrant-anti-capitalist-hoodie.jpg, https://images.serenashirt.com/2025/05/Pro-migrant-anti-capitalist-sweater.jpg, https://images.serenashirt.com/2025/05/Pro-migrant-anti-capitalist-v-neck-t-shirt.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,1623116
